Symbol,Name
20MICRONS,20 Microns Ltd
21STCENMGM,21st Century Management Services Ltd
3IINFOTECH,3i Infotech Ltd
3MINDIA,3M India Ltd
3PLAND,3P Land Holdings Ltd
3RDROCK,3rd Rock Multimedia Ltd
5PAISA,5Paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
AMJUMBO,A and M Jumbo Bags Ltd
OFSS,Oracle Financial Services Software Ltd,/stocks/oracle-financial-services-software-ORCL
ORBTEXP,Orbit Exports Ltd,/stocks/orbit-exports-ORBE
ORCHIDPHAR,Orchid Pharma Ltd,/stocks/orchid-pharma-ORCD
ORICONENT,Oricon Enterprises Ltd,/stocks/oricon-enterprises-OREN
ORIENTABRA,Orient Abrasives Ltd,/stocks/orient-abrasives-ORNT
ORIENTBELL,Orient Bell Ltd,/stocks/orient-bell-ORBL
ORIENTCEM,Orient Cement Ltd,/stocks/orient-cement-ORCE
ORIENTELEC,Orient Electric Ltd,/stocks/orient-electric-ONTE
GREENPOWER,Orient Green Power Company Ltd,/stocks/orient-green-power-company-ORIN
ORIENTPPR,Orient Paper & Industries Ltd
ORIENTLTD,Orient Press Ltd,/stocks/orient-press-ORPR
ORIENTREF,Orient Refractories Ltd
OAL,Oriental Aromatics Ltd,/stocks/oriental-aromatics-OIEN
OCCL,Oriental Carbon & Chemicals Ltd,/stocks/oriental-carbon-and-chemicals-ORCR
ORIENTHOT,Oriental Hotels Ltd,/stocks/oriental-hotels-ORHT
ORIENTALTL,Oriental Trimex Ltd,/stocks/oriental-trimex-ORTX
ORTEL,Ortel Communications Ltd,/stocks/ortel-communications-ORTE
ORTINLABSS,Ortin Laboratories Ltd,/stocks/ortin-laboratories-ORTN
OSIAHYPER,Osia Hyper Retail Ltd,/stocks/osia-hyper-retail-OSIH
OSWALAGRO,Oswal Agro Mills Ltd,/stocks/oswal-agro-mills-OWAG
BINDALAGRO,Oswal Chemicals & Fertilizers Ltd
PAEL,PAE Ltd
PAGEIND,Page Industries Ltd,/stocks/page-industries-PAGE
PAISALO,Paisalo Digital Ltd,/stocks/paisalo-digital-PISA
PALASHSECU,Palash Securities Ltd,/stocks/palash-securities-PAAS
PALREDTEC,Palred Technologies Ltd,/stocks/palred-technologies-PALR
PANACEABIO,Panacea Biotec Ltd,/stocks/panacea-biotec-PNCA
PANACHE,Panache Digilife Ltd,/stocks/panache-digilife-PNAC
PANAMAPET,Panama Petrochem Ltd,/stocks/panama-petrochem-PAPT
PANSARI,Pansari Developers Ltd,/stocks/pansari-developers-PANR
PAR,Par Drugs and Chemicals Ltd,/stocks/par-drugs-and-chemicals-PARR
PARABDRUGS,Parabolic Drugs Ltd,/stocks/parabolic-drugs-PARB
PARAGMILK,Parag Milk Foods Ltd,/stocks/parag-milk-foods-PAMF
PARACABLES,Paramount Communications Ltd,/stocks/paramount-communications-PCML
PARIN,Parin Furniture Ltd,/stocks/parin-furniture-PARU
PARSVNATH,Parsvnath Developers Ltd,/stocks/parsvnath-developers-PARV
PASHUPATI,Pashupati Cotspin Ltd,/stocks/pashupati-cotspin-PASH
PATELENG,Patel Engineering Ltd,/stocks/patel-engineering-PENG
PATINTLOG,Patel Integrated Logistics Ltd,/stocks/patel-integrated-logistics-PATL
PATSPINLTD,Patspin India Ltd,/stocks/patspin-india-PATS
PCJEWELLER,PC Jeweller Ltd,/stocks/pc-jeweller-PCJE
PDSMFL,PDS Multinational Fashions Ltd
PGIL,Pearl Global Industries Ltd,/stocks/pearl-global-industries-PGIL
PEARLPOLY,Pearl Polymers Ltd,/stocks/pearl-polymers-PRLP
PENINLAND,Peninsula Land Ltd,/stocks/peninsula-land-PENL
PENIND,Pennar Industries Ltd,/stocks/pennar-industries-PENN
PENTAGOLD,Penta Gold Ltd,/stocks/penta-gold-PENA
PERFECT,Perfect Infraengineers Ltd,/stocks/perfect-infraengineers-PERE
PERSISTENT,Persistent Systems Ltd,/stocks/persistent-systems-PERS
PETRONET,Petronet LNG Ltd,/stocks/petronet-lng-PLNG
PFIZER,Pfizer Ltd,/stocks/pfizer-PFIZ
PGEL,PG Electroplast Ltd,/stocks/pg-electroplast-PGEL
PHILIPCARB,Phillips Carbon Black Ltd
PIIND,PI Industries Ltd,/stocks/pi-industries-PIIL
PIDILITIND,Pidilite Industries Ltd,/stocks/pidilite-industries-PIDI
PILITA,Pil Italica Lifestyle Ltd,/stocks/pil-italica-lifestyle-PILI
PILANIINVS,Pilani Investment and Industries Corporation Ltd,/stocks/pilani-investment-and-industries-corporation-PILN
PIONDIST,Pioneer Distilleries Ltd
PIONEEREMB,Pioneer Embroideries Ltd,/stocks/pioneer-embroideries-PIOE
PEL,Piramal Enterprises Ltd,/stocks/piramal-enterprises-PIRA
PITTIENG,Pitti Engineering Ltd,/stocks/pitti-engineering-PITE
PLASTIBLEN,Plastiblends India Ltd,/stocks/plastiblends-india-PLST
PNBGILTS,PNB Gilts Ltd,/stocks/pnb-gilts-PNBG
PNBHOUSING,PNB Housing Finance Ltd,/stocks/pnb-housing-finance-PNBH
PNCINFRA,PNC Infratech Ltd,/stocks/pnc-infratech-PNCI
PODDARHOUS,Poddar Housing and Development Ltd,/stocks/poddar-housing-and-development-PODD
PODDARMENT,Poddar Pigments Ltd,/stocks/poddar-pigments-PODR
POKARNA,Pokarna Ltd,/stocks/pokarna-POKR
POLYMED,Poly Medicure Ltd,/stocks/poly-medicure-PLMD
POLYCAB,Polycab India Ltd,/stocks/polycab-india-POLC
POLYPLEX,Polyplex Corporation Ltd
PONNIERODE,Ponni Sugars (Erode) Ltd,/stocks/ponni-sugars-erode-PONS
PIGL,Power & Instrumentation (Gujarat) Ltd
PFC,Power Finance Corporation Ltd,/stocks/power-finance-corporation-PWFC
POWERGRID,Power Grid Corporation of India Ltd,/stocks/power-grid-corporation-of-india-PGRD
POWERMECH,Power Mech Projects Ltd,/stocks/power-mech-projects-POMP
POWERFUL,Powerful Technologies Ltd,/stocks/powerful-technologies-PROW
PPAP,PPAP Automotive Ltd,/stocks/ppap-automotive-PPAP
PRABHAT,Prabhat Dairy Ltd,/stocks/prabhat-dairy-PRDA
PRADIP,Pradip Overseas Ltd,/stocks/pradip-overseas-PRAD
PRAJIND,Praj Industries Ltd,/stocks/praj-industries-PRAJ
PRAENG,Prajay Engineers Syndicate Ltd,/stocks/prajay-engineers-syndicate-PRJE
PRAKASH,Prakash Industries Ltd,/stocks/prakash-industries-PRKI
PPL,Prakash Pipes Ltd,/stocks/prakash-pipes-PRAS
PRAKASHSTL,Prakash Steelage Ltd,/stocks/prakash-steelage-PRAA
DIAMONDYD,Prataap Snacks Ltd,/stocks/prataap-snacks-PRAT
PRAXIS,Praxis Home Retail Ltd,/stocks/praxis-home-retail-PRAX
PRECAM,Precision Camshafts Ltd,/stocks/precision-camshafts-PRCM
PRECWIRE,Precision Wires India Ltd,/stocks/precision-wires-india-PRWR
PRECOT,Precot Meridian Ltd
PREMEXPLN,Premier Explosives Ltd,/stocks/premier-explosives-PRMR
PREMIER,Premier Ltd,/stocks/premier-PRMI
PREMIERPOL,Premier Polyfilm Ltd,/stocks/premier-polyfilm-PRPF
PRESSMN,Pressman Advertising Ltd,/stocks/pressman-advertising-PRES
PRESTIGE,Prestige Estates Projects Ltd,/stocks/prestige-estates-projects-PREG
PRICOLLTD,Pricol Ltd,/stocks/pricol-PRCO
PFOCUS,Prime Focus Ltd,/stocks/prime-focus-PRFO
PRIMESECU,Prime Securities Ltd,/stocks/prime-securities-PRME
PRINCEPIPE,Prince Pipes And Fittings Ltd,/stocks/prince-pipes-and-fittings-PRCE
PRSMJOHNSN,Prism Johnson Ltd,/stocks/prism-johnson-PRIS
PRITI,Priti International Ltd,/stocks/priti-international-PRNI
PNC,Pritish Nandy Communications Ltd,/stocks/pritish-nandy-communications-PNCL
PGHL,Procter & Gamble Health Ltd,/stocks/procter-and-gamble-health-PROR
PGHH,Procter & Gamble Hygiene and Health Care Ltd,/stocks/procter-and-gamble-hygiene-and-health-care-PROC
PROLIFE,Prolife Industries Ltd,/stocks/prolife-industries-PROI
PROSEED,Proseed India Ltd
PROZONINTU,Prozone Intu Properties Ltd,/stocks/prozone-intu-properties-PROZ
PSL,PSL Ltd
PSPPROJECT,PSP Projects Ltd,/stocks/psp-projects-PSPP
PFS,PTC India Financial Services Ltd,/stocks/ptc-india-financial-services-PTCN
PTC,PTC India Ltd,/stocks/ptc-india-PTCI
PTL,PTL Enterprises Ltd,/stocks/ptl-enterprises-PTLE
PDMJEPAPER,Pudumjee Paper Products Ltd,/stocks/pudumjee-paper-products-PUDJ
PULZ,Pulz Electronics Ltd,/stocks/pulz-electronics-PULZ
PUNJLLOYD,Punj Lloyd Ltd,/stocks/punj-lloyd-PUJL
PSB,Punjab & Sind Bank,/stocks/punjab-and-sind-bank-PUNA
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd
PNB,Punjab National Bank,/stocks/punjab-national-bank-PNBK
PURVA,Puravankara Ltd,/stocks/puravankara-PURA
PUSHPREALM,Pushpanjali Realms and Infratech Ltd,/stocks/pushpanjali-realms-and-infratech-PUSP
PVR,PVR Ltd,/stocks/pvr-PVRL
QUESS,Quess Corp Ltd,/stocks/quess-corp-QUEC
QUICKHEAL,Quick Heal Technologies Ltd,/stocks/quick-heal-technologies-QUIC
RMDRIP,R M Drip and Sprinklers Systems Ltd
RSYSTEMS,R Systems International Ltd,/stocks/r-systems-international-RSYS
RSSOFTWARE,R. S. Software (India) Ltd
RPPINFRA,R.P.P. Infra Projects Ltd
RADAAN,Radaan Mediaworks India Ltd
RMCL,Radha Madhav Corporation Ltd
RADICO,Radico Khaitan Ltd,/stocks/radico-khaitan-RADC
RVNL,Rail Vikas Nigam Ltd,/stocks/rail-vikas-nigam-RAIV
RAIN,Rain Industries Ltd,/stocks/rain-industries-RAID
RAJOIL,Raj Oil Mills Ltd,/stocks/raj-oil-mills-RAJS
RAJRAYON,Raj Rayon Industries Ltd,/stocks/raj-rayon-industries-RRAY
RAJTV,Raj Television Network Ltd,/stocks/raj-television-network-RATV
ARENTERP,Rajdarshan Industries Ltd,/stocks/rajdarshan-industries-RAJD
RAJESHEXPO,Rajesh Exports Ltd,/stocks/rajesh-exports-REXP
RAJMET,Rajnandini Metal Ltd,/stocks/rajnandini-metal-RADN
RPPL,Rajshree Polypack Ltd,/stocks/rajshree-polypack-RAJH
RAJSREESUG,Rajshree Sugars & Chemicals Ltd,/stocks/rajshree-sugars-and-chemicals-RJSG
RALLIS,Rallis India Ltd,/stocks/rallis-india-RALL
RAMASTEEL,Rama Steel Tubes Ltd,/stocks/rama-steel-tubes-RAMA
RAMCOIND,Ramco Industries Ltd,/stocks/ramco-industries-RAMC
RAMCOSYS,Ramco Systems Ltd,/stocks/ramco-systems-RMCS
RKFORGE,Ramkrishna Forgings Ltd,/stocks/ramkrishna-forgings-RKFO
RAMKY,Ramky Infrastructure Ltd,/stocks/ramky-infrastructure-RAMK
RAMSARUP,Ramsarup Industries Ltd
RANASUG,Rana Sugars Ltd,/stocks/rana-sugars-RNSG
RML,Rane (Madras) Ltd,/stocks/rane-madras-RAMD
RBL,Rane Brake Lining Ltd
RANEENGINE,Rane Engine Valve Ltd,/stocks/rane-engine-valve-RAEV
RANEHOLDIN,Rane Holdings Ltd,/stocks/rane-holdings-RANE
RCF,Rashtriya Chemicals and Fertilizers Ltd,/stocks/rashtriya-chemicals-and-fertilizers-RSTC
RATNAMANI,Ratnamani Metals & Tubes Ltd
RTNINFRA,RattanIndia Infrastructure Ltd
RTNPOWER,RattanIndia Power Ltd,/stocks/rattanindia-power-RTNP
RKDL,Ravi Kumar Distilleries Ltd,/stocks/ravi-kumar-distilleries-RAVK
RAYMOND,Raymond Ltd,/stocks/raymond-RYMD
RBLBANK,RBL Bank Ltd,/stocks/rbl-bank-RATB
RECLTD,REC Ltd,/stocks/rec-RECM
REDINGTON,Redington (India) Ltd,/stocks/redington-india-REDI
REFEX,Refex Industries Ltd,/stocks/refex-industries-REFE
RELAXO,Relaxo Footwears Ltd,/stocks/relaxo-footwears-RLXO
RELIABLE,Reliable Data Services Ltd,/stocks/reliable-data-services-RLIB
RELCAPITAL,Reliance Capital Ltd,/stocks/reliance-capital-RLCP
RCOM,Reliance Communications Ltd,/stocks/reliance-communications-RLCM
RHFL,Reliance Home Finance Ltd,/stocks/reliance-home-finance-RLIC
RIIL,Reliance Industrial Infrastructure Ltd,/stocks/reliance-industrial-infrastructure-REII
RELIANCE,Reliance Industries Ltd,/stocks/reliance-industries-RELI
RELINFRA,Reliance Infrastructure Ltd,/stocks/reliance-infrastructure-RLIN
RNAVAL,Reliance Naval and Engineering Ltd,/stocks/reliance-naval-and-engineering-RELV
RPOWER,Reliance Power Ltd,/stocks/reliance-power-RPOL
RELIGARE,Religare Enterprises Ltd,/stocks/religare-enterprises-RELG
REMSONSIND,Remsons Industries Ltd,/stocks/remsons-industries-REIN
RGL,Renaissance Global Ltd,/stocks/renaissance-global-RENA
REPCOHOME,Repco Home Finance Ltd,/stocks/repco-home-finance-RHFL
REPRO,Repro India Ltd,/stocks/repro-india-RPRO
RESPONIND,Responsive Industries Ltd,/stocks/responsive-industries-RSPO
REVATHI,Revathi Equipment Ltd,/stocks/revathi-equipment-REVA
RICOAUTO,Rico Auto Industries Ltd,/stocks/rico-auto-industries-RAUT
RITES,RITES Ltd,/stocks/rites-RITS
RKEC,RKEC Projects Ltd,/stocks/rkec-projects-RKEC
ROHITFERRO,Rohit Ferro-Tech Ltd
ROLLT,Rollatainers Ltd,/stocks/rollatainers-RLTN
ROLTA,Rolta India Ltd,/stocks/rolta-india-ROLT
ROSSARI,Rossari Biotech Ltd,/stocks/rossari-biotech-ROSB
ROSSELLIND,Rossell India Ltd,/stocks/rossell-india-ROSS
ROUTE,Route Mobile Ltd,/stocks/route-mobile-ROUT
ROHLTD,Royal Orchid Hotels Ltd,/stocks/royal-orchid-hotels-ROYL
RPGLIFE,RPG Life Sciences Ltd,/stocks/rpg-life-sciences-RPGL
RSWM,RSWM Ltd,/stocks/rswm-RSWM
RUCHINFRA,Ruchi Infrastructure Ltd,/stocks/ruchi-infrastructure-RUCH
RUCHI,Ruchi Soya Industries Ltd
RUCHIRA,Ruchira Papers Ltd,/stocks/ruchira-papers-RCHR
REPL,Rudrabhishek Enterprises Ltd,/stocks/rudrabhishek-enterprises-RURD
RUPA,Rupa & Company Ltd,/stocks/rupa-and-company-RUCL
RUSHIL,Rushil Decor Ltd,/stocks/rushil-decor-RUSH
SCHAND,S Chand And Company Ltd,/stocks/s-chand-and-company-SCHA
SHK,S H Kelkar and Company Ltd,/stocks/s-h-kelkar-and-company-SHKE
S&SPOWER,S&S Power Switchgears Ltd
SPAL,S. P. Apparels Ltd,/stocks/s-p-apparels-SPAP
SALSTEEL,S.A.L. Steel Ltd
SEPOWER,S.E. Power Ltd
SSINFRA,S.S. Infrastructure Development Consultants Ltd
SABEVENTS,Sab Events & Governance Now Media Ltd,/stocks/sab-events-and-governance-now-media-SABV
SADBHAV,Sadbhav Engineering Ltd,/stocks/sadbhav-engineering-SADE
SADBHIN,Sadbhav Infrastructure Project Ltd
SAFARI,Safari Industries (India) Ltd,/stocks/safari-industries-india-SAFA
SAGCEM,Sagar Cements Ltd,/stocks/sagar-cements-SGRC
SAGARDEEP,Sagardeep Alloys Ltd,/stocks/sagardeep-alloys-SAGP
SAKAR,Sakar Healthcare Ltd,/stocks/sakar-healthcare-SAKA
SAKETH,Saketh Exim Ltd
SAKSOFT,Saksoft Ltd,/stocks/saksoft-SAKS
SAKHTISUG,Sakthi Sugars Ltd,/stocks/sakthi-sugars-SKSG
SAKUMA,Sakuma Exports Ltd,/stocks/sakuma-exports-SAKE
SECL,Salasar Exteriors and Contour Ltd,/stocks/salasar-exteriors-and-contour-SALR
SALASAR,Salasar Techno Engineering Ltd,/stocks/salasar-techno-engineering-SALA
SALONA,Salona Cotspin Ltd,/stocks/salona-cotspin-SALO
SALZERELEC,Salzer Electronics Ltd,/stocks/salzer-electronics-SALZ
SAMBHAAV,Sambhaav Media Ltd,/stocks/sambhaav-media-SMBH
SANCO,Sanco Industries Ltd,/stocks/sanco-industries-SANR
SANDHAR,Sandhar Technologies Ltd,/stocks/sandhar-technologies-SNTL
SANGAMIND,Sangam (India) Ltd,/stocks/sangam-india-SANG
SANGHIIND,Sanghi Industries Ltd,/stocks/sanghi-industries-SNGI
SANGHVIFOR,Sanghvi Forging and Engineering Ltd,/stocks/sanghvi-forging-and-engineering-SANH
SANGHVIMOV,Sanghvi Movers Ltd,/stocks/sanghvi-movers-SNGM
SANGINITA,Sanginita Chemicals Ltd,/stocks/sanginita-chemicals-SNGN
SANOFI,Sanofi India Ltd,/stocks/sanofi-india-SANO
SANWARIA,Sanwaria Consumer Ltd,/stocks/sanwaria-consumer-SNWR
SARDAEN,Sarda Energy & Minerals Ltd,/stocks/sarda-energy-and-minerals-SAEM
SAREGAMA,Saregama India Ltd,/stocks/saregama-india-SARE
SARLAPOLY,Sarla Performance Fibers Ltd,/stocks/sarla-performance-fibers-SARL
SARVESHWAR,Sarveshwar Foods Ltd,/stocks/sarveshwar-foods-SRVE
SASKEN,Sasken Technologies Ltd,/stocks/sasken-technologies-SKCT
SASTASUNDR,Sastasundar Ventures Ltd,/stocks/sastasundar-ventures-SAST
SATHAISPAT,Sathavahana Ispat Ltd
SATIA,Satia Industries Ltd,/stocks/satia-industries-SATD
SATIN,Satin Creditcare Network Ltd,/stocks/satin-creditcare-network-SATR
SOTL,Savita Oil Technologies Ltd,/stocks/savita-oil-technologies-SAOL
SBICARD,SBI Cards and Payment Services Ltd,/stocks/sbi-cards-and-payment-services-SBIC
SBILIFE,SBI Life Insurance Company Ltd,/stocks/sbi-life-insurance-company-SBIL
SCHAEFFLER,Schaeffler India Ltd,/stocks/schaeffler-india-SCHE
SCHNEIDER,Schneider Electric Infrastructure Ltd,/stocks/schneider-electric-infrastructure-SEIN
SEAMECLTD,Seamec Ltd,/stocks/seamec-SEAM
SECURCRED,SecUR Credentials Ltd,/stocks/secur-credentials-SECC
SIS,Security and Intelligence Services (India) Ltd
SELMCL,SEL Manufacturing Company Ltd,/stocks/sel-manufacturing-company-SELM
SELAN,Selan Exploration Technology Ltd,/stocks/selan-exploration-technology-SELA
SEQUENT,Sequent Scientific Ltd,/stocks/sequent-scientific-SEQU
SERVOTECH,Servotech Power Systems Ltd,/stocks/servotech-power-systems-SERO
SESHAPAPER,Seshasayee Paper and Boards Ltd,/stocks/seshasayee-paper-and-boards-SSHA
SETCO,Setco Automotive Ltd,/stocks/setco-automotive-SETC
SETUINFRA,Setubandhan Infrastructure Ltd,/stocks/setubandhan-infrastructure-SETU
SEYAIND,Seya Industries Ltd,/stocks/seya-industries-SEYA
SEZAL,Sezal Glass Ltd
SHAHALLOYS,Shah Alloys Ltd,/stocks/shah-alloys-SHAA
SHAIVAL,Shaival Reality Ltd,/stocks/shaival-reality-SAIV
SHAKTIPUMP,Shakti Pumps (India) Ltd
SHALBY,Shalby Ltd,/stocks/shalby-SHAY
SHALPAINTS,Shalimar Paints Ltd,/stocks/shalimar-paints-SHLP
SHANKARA,Shankara Building Products Ltd,/stocks/shankara-building-products-SHAB
SHANTIGEAR,Shanthi Gears Ltd,/stocks/shanthi-gears-SHNT
SHANTI,Shanti Overseas (India) Ltd
SHARDACROP,Sharda Cropchem Ltd,/stocks/sharda-cropchem-SHCR
SHARDAMOTR,Sharda Motor Industries Ltd,/stocks/sharda-motor-industries-SHAD
SHARONBIO,Sharon Bio-Medicine Ltd
SFL,Sheela Foam Ltd,/stocks/sheela-foam-SHEF
SPYL,Shekhawati Poly-Yarn Ltd,/stocks/shekhawati-poly-yarn-SHEK
SHEMAROO,Shemaroo Entertainment Ltd,/stocks/shemaroo-entertainment-SHEM
SHILPAMED,Shilpa Medicare Ltd,/stocks/shilpa-medicare-SHME
SCI,Shipping Corporation of India Ltd,/stocks/shipping-corporation-of-india-SCI
SHIRPUR-G,Shirpur Gold Refinery Ltd,/stocks/shirpur-gold-refinery-SHGR
SHIVAUM,Shiv Aum Steels Ltd,/stocks/shiv-aum-steels-SHVU
SHIVAMILLS,Shiva Mills Ltd,/stocks/shiva-mills-SVAM
SHIVATEX,Shiva Texyarn Ltd,/stocks/shiva-texyarn-SHTE
SHIVAMAUTO,Shivam Autotech Ltd,/stocks/shivam-autotech-SHAU
SHOPERSTOP,Shoppers Stop Ltd,/stocks/shoppers-stop-SHOP
SHRADHA,Shradha Infraprojects Ltd,/stocks/shradha-infraprojects-SHDH
SHREECEM,Shree Cement Ltd,/stocks/shree-cement-SHCM
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd,/stocks/shree-pushkar-chemicals-and-fertilisers-SPCH
SRPL,Shree Ram Proteins Ltd
SHREERAMA,Shree Rama Multi-Tech Ltd,/stocks/shree-rama-multi-tech-SHRM
RAMANEWS,Shree Rama Newsprint Ltd,/stocks/shree-rama-newsprint-SRNP
RENUKA,Shree Renuka Sugars Ltd,/stocks/shree-renuka-sugars-SRES
TIRUPATI,Shree Tirupati Balajee FIBC Ltd,/stocks/shree-tirupati-balajee-fibc-SHTR
SVLL,Shree Vasu Logistics Ltd,/stocks/shree-vasu-logistics-SHEV
OSWALSEEDS,ShreeOswal Seeds And Chemicals Ltd,/stocks/shreeoswal-seeds-and-chemicals-SHSE
SHRENIK,Shrenik Ltd,/stocks/shrenik-SHRK
SHREYANIND,Shreyans Industries Ltd,/stocks/shreyans-industries-SHRY
SHREYAS,Shreyas Shipping & Logistics Ltd
SRIRAM,Shri Ram Switchgears Ltd,/stocks/shri-ram-switchgears-SRSW
SHRIRAMCIT,Shriram City Union Finance Ltd
SHRIRAMEPC,Shriram EPC Ltd
SHRIPISTON,Shriram Pistons & Rings Ltd,/stocks/shriram-pistons-and-rings-SHIE
SRTRANSFIN,Shriram Transport Finance Company Ltd
SHUBHLAXMI,Shubhlaxmi Jewel Art Ltd,/stocks/shubhlaxmi-jewel-art-SHUL
SHYAMCENT,Shyam Century Ferrous Ltd,/stocks/shyam-century-ferrous-SHYC
SHYAMMETL,Shyam Metalics and Energy Ltd,/stocks/shyam-metalics-and-energy-SHYAE
SHYAMTEL,Shyam Telecom Ltd,/stocks/shyam-telecom-SHMT
SICAGEN,Sicagen India Ltd,/stocks/sicagen-india-SICI
SICAL,Sical Logistics Ltd,/stocks/sical-logistics-SICA
SIEMENS,Siemens Ltd,/stocks/siemens-SIEM
SIGIND,Signet Industries Ltd,/stocks/signet-industries-SIGN
SIKKO,Sikko Industries Ltd,/stocks/sikko-industries-SIKK
SILINV,SIL Investments Ltd,/stocks/sil-investments-SILI
SILGO,Silgo Retail Ltd,/stocks/silgo-retail-SILG
SILLYMONKS,Silly Monks Entertainment Ltd,/stocks/silly-monks-entertainment-SILL
SILVERTUC,Silver Touch Technologies Ltd,/stocks/silver-touch-technologies-SILT
SIMBHALS,Simbhaoli Sugars Ltd,/stocks/simbhaoli-sugars-SIMB
SIMPLEXINF,Simplex Infrastructures Ltd,/stocks/simplex-infrastructures-SINF
SINTERCOM,Sintercom India Ltd,/stocks/sintercom-india-SINE
SINTEX,Sintex Industries Ltd
SPTL,Sintex Plastics Technology Ltd,/stocks/sintex-plastics-technology-SINT
SIRCA,Sirca Paints India Ltd,/stocks/sirca-paints-india-SICR
SITINET,Siti Networks Ltd,/stocks/siti-networks-SITI
SIYSIL,Siyaram Silk Mills Ltd,/stocks/siyaram-silk-mills-SIYR
SJVN,SJVN Ltd,/stocks/sjvn-SJVN
SKFINDIA,SKF India Ltd,/stocks/skf-india-SKFB
SKIL,SKIL Infrastructure Ltd,/stocks/skil-infrastructure-SKIL
SKIPPER,Skipper Ltd,/stocks/skipper-SKIP
SKMEGGPROD,SKM Egg Products Export (India) Ltd
SKSTEXTILE,SKS Textiles Ltd
SMARTLINK,Smartlink Holdings Ltd,/stocks/smartlink-holdings-SMAT
SMLISUZU,SML Isuzu Ltd,/stocks/sml-isuzu-SMLI
SMSLIFE,SMS Lifesciences India Ltd,/stocks/sms-lifesciences-india-SMSL
SMSPHARMA,SMS Pharmaceuticals Ltd,/stocks/sms-pharmaceuticals-SMSP
SMVD,SMVD Poly Pack Ltd,/stocks/smvd-poly-pack-SMVD
SNOWMAN,Snowman Logistics Ltd,/stocks/snowman-logistics-SNOW
SOBHA,Sobha Ltd,/stocks/sobha-SOBH
SOFTTECH,Softtech Engineers Ltd,/stocks/softtech-engineers-SOTF
SOLARINDS,Solar Industries India Ltd,/stocks/solar-industries-india-SLIN
SOLARA,Solara Active Pharma Sciences Ltd,/stocks/solara-active-pharma-sciences-SOLA
SOLEX,Solex Energy Ltd,/stocks/solex-energy-SOEX
SDBL,Som Distilleries & Breweries Ltd
SOMATEX,Soma Textiles & Industries Ltd,/stocks/soma-textiles-and-industries-SOMA
SOMANYCERA,Somany Ceramics Ltd,/stocks/somany-ceramics-SOCE
SHIL,Somany Home Innovation Ltd,/stocks/somany-home-innovation-SOMN
SOMICONVEY,Somi Conveyor Beltings Ltd,/stocks/somi-conveyor-beltings-SOMI
SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Ltd,/stocks/sona-hi-sona-jewellers-gujarat-SONH
SONAMCLOCK,Sonam Clock Ltd,/stocks/sonam-clock-SOMC
SONATSOFTW,Sonata Software Ltd,/stocks/sonata-software-SOFT
SONISOYA,Soni Soya Products Ltd
SORILINFRA,SORIL Infra Resources Ltd
SOUTHWEST,South West Pinnacle Exploration Ltd,/stocks/south-west-pinnacle-exploration-SWPI
SPIC,Southern Petrochemicals Industries Corporation Ltd
SPCENET,Spacenet Enterprises India Ltd,/stocks/spacenet-enterprises-india-SACE
SPANDANA,Spandana Sphoorty Financial Ltd,/stocks/spandana-sphoorty-financial-SPAD
SPECIALITY,Speciality Restaurants Ltd,/stocks/speciality-restaurants-SPRE
SPECTRUM,Spectrum Electrical Industries Ltd,/stocks/spectrum-electrical-industries-SPET
SPENCERS,Spencer's Retail Ltd,/stocks/spencers-retail-SPEN
SPENTEX,Spentex Industries Ltd,/stocks/spentex-industries-SPTI
SPLIL,SPL Industries Ltd,/stocks/spl-industries-SPND
SMPL,Splendid Metal Products Ltd
SPMLINFRA,SPML Infra Ltd,/stocks/spml-infra-SPML
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,/stocks/sree-rayalaseema-hi-strength-hypo-SRHL
SREEL,Sreeleathers Ltd,/stocks/sreeleathers-SREE
SREINFRA,SREI Infrastructure Finance Ltd,/stocks/srei-infrastructure-finance-SREI
SRF,SRF Ltd,/stocks/srf-SRFL
SABTN,Sri Adhikari Brothers Television Network Ltd,/stocks/sri-adhikari-brothers-television-network-SBTV
HAVISHA,Sri Havisha Hospitality and Infrastructure Ltd,/stocks/sri-havisha-hospitality-and-infrastructure-SRIS
SRIPIPES,Srikalahasthi Pipes Ltd
STAMPEDE,Stampede Capital Ltd,/stocks/stampede-capital---dvr-STAMdv
SIL,Standard Industries Ltd,/stocks/standard-industries-STDI
STARCEMENT,Star Cement Ltd,/stocks/star-cement-STAT
STARPAPER,Star Paper Mills Ltd,/stocks/star-paper-mills-STPM
SBIN,State Bank of India,/stocks/state-bank-of-india-SBI
SAIL,Steel Authority of India Ltd,/stocks/steel-authority-of-india-SAIL
STEELCITY,Steel City Securities Ltd,/stocks/steel-city-securities-SCYS
STEELXIND,Steel Exchange India Ltd,/stocks/steel-exchange-india-STEI
SSWL,Steel Strips Wheels Ltd,/stocks/steel-strips-wheels-STWH
STEL,Stel Holdings Ltd,/stocks/stel-holdings-STEL
SWSOLAR,Sterling And Wilson Solar Ltd
STERTOOLS,Sterling Tools Ltd,/stocks/sterling-tools-STTL
